Ethnic Origin,Ontario 2011,Ontario 2016
Sinhalese,"4,960","5,195"
Sri Lankan,"112,465","124,270"
Tamil,"43,450","42,760"
East and Southeast Asian origins,"1,223,480","1,422,890"
Burmese,"3,810","4,420"
Cambodian (Khmer),"12,620","14,655"
Chinese,"713,245","849,345"
Filipino,"295,700","337,760"
Hmong,615,650
Indonesian,"7,615","9,325"
Japanese,"37,910","41,620"
Korean,"82,640","93,420"
Laotian,"9,435","9,875"
Malaysian,"5,910","7,310"
Mongolian,"1,960","2,940"
Singaporean,815,"1,260"
Taiwanese,"8,955","10,060"
Thai,"5,735","6,865"
Tibetan,"4,990","6,365"
Vietnamese,"100,520","107,640"
Other Asian origins,"13,780","13,430"
Oceania origins,"19,410","20,680"
Australian,"12,830","13,315"
New Zealander,"4,180","4,250"
Pacific Islands origins,"2,715","3,490"
Fijian,"1,245","1,610"
Hawaiian,480,470
Maori,285,485
Samoan,130,225
